index:ID,name,code,status,:LABEL,业绩变动,预计净利润(元),业绩变动幅度,业绩变动原因,预告类型,上年同期净利润(元),公告日期
200002,华纺股份,600448,normal,企业,"预计2019年1-6月归属于上市公司股东的净利润盈利:6,125.78万元-8,751.12万元,同比下降50%-65%。	","6126万～8751万	","-65%	～-50%		","今年以来,受宏观经济及中美贸易战影响,行业景气度下降明显。故上半年归属于上市公司股东的净利润同比依然下降。","预减	","1.75亿	","2019-04-26	"
200003,天广中茂,2509,normal,企业,"预计2019年1-3月归属于上市公司股东的净利润盈利3,339.02万元-3,446.04万元,同比上年增长1460%-1510%	","3339万～3446万	","1460%	～1510%		","由于本报告期汇兑损失较去年同期大幅下降,因此本报告期实现净利润对比去年同期大幅上升。","预增	","214万	","2019-04-13	"
200004,超声电子,823,normal,企业,"预计2017年1-9月归属于上市公司股东的净利润与上年同期相比发生大幅度下降。	","-	","-	","由于公司工程总承包业务的承接和实施具有较大的不确定性,可能会对本公司的经营业绩及盈利状况产生不利影响,有可能会导致年初至下一报告期期末的累计净利润与上年同期相比发生大幅度下降。","预减	","4858万	","2017-08-15	"
200005,猛狮科技,2684,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润亏损:5,050万元。	","-5050万	","85.19%		","2019年前三季度,公司柴油发动机业务虽取得一定进展,但仍未获得大批量销售订单,公司预计亏损约5050万元,较去年同期亏损有所下降。具体原因如下:(1)STEYRMOTORSGmbH(以下简称“奥利斯太尔"")已正式进入破产清算程序,本年度公司不再将其纳入合并报表范围,去年同期奥地利斯太尔亏损约3512万元(不含商誉减值及开发支出费用化影响);(2)去年同期,因奥地利斯太尔存在重组清算风险,公司对相关商誉计提了减值准备,而本报告期未发生此类会计业务;(3)与去年同期相比,本报告期公司未发生新的研发支出费用化及存货计提减值事项;(4)本报告期,公司进一步加强成本管理,严格控制费用支出,2019年前三季度费用支出较去年同期有所下降。","减亏	","-3.41亿	","2019-10-15	"
200006,星徽精密,300464,normal,企业,"预计2018年1-9月归属于上市公司股东的净利润盈利2801.46万元-3001.46万元,同比上年增长100%-114%	","2801万～3001万	","100%	～114%		","1、得益于华纺正在进行的新旧动能转换,建设了新的工厂,成为工信部和纺织行业示范单位,大幅提高了效率,降低了用工,提升了产品质量水平,为效益提升做出了贡献。2、得益于华纺进行了全产业链条的延伸,打通了全产业链条,各个生产环节得到了高效衔接,最大化地完成了全产业链条的有机结合,服务于市场,对市场快速反应,对产能提升起到了促进作用。3、得益于华纺拓展了军民融合和大型国有企业的工装定制,成为优秀供应商,对效益提供了有效帮助。在做好工装和军装的同时,在北京、上海、南京、武汉开设了销售门店,对国内市场进行了有效拓展,市场信息得到快速传递。4、得益于华纺进行了多品牌战略,家纺和服装品牌知名度逐步得到了市场和客户群体的认可,品牌美誉度不断提升,通过品牌建设,使华纺逐渐从制造型企业向品牌企业转换。5、得益于华纺在发展过程中进行了有效的国际化市场转换,在美国、孟加拉、越南、香港等国家和地区成立了子公司等分支机构,并在国内有多个长期合作的生产加工基地。华纺产品直接出口美国的比例很小,因此,在本次贸易战中对华纺影响较小,这也是华纺全球战略布局的一个结果。6、公司以出口业务为主,本年度人民币对美元的汇率出现较大波动,公司克服各种困难保持了产品外销价格的基本稳定,使得外销销售收入和汇兑收益都有所上升。","预增	","1401万	","2018-09-29	"
200007,金安国纪,2636,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润亏损:14,000万元至17,500万元。	","-1.75亿～-1.40亿	","-37.57%	～-10.05%		","2019年1-9月归属于上市公司股东的净利润为-17,500万元~-14,000万元。公司2019年第三季度的业绩亏损情况有所扩大,主要系部分金融债务逾期导致本报告期内逾期利息等增加。同时报告期内公司资金紧张问题未得到根本性改善,大部分在建项目停滞,生产经营尚未得到实质性恢复,因此本报告期继续亏损。","增亏	","-1.27亿	","2019-10-15	"
200008,惠伦晶体,300460,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:280万元至340万元,同比上年下降:67.23%至73.01%。	","280万～340万	","-73.01%	～-67.23%		","1、公司2019年前三季度业绩与上年同期相比同向下降,业绩变动主要原因是:(1)受中美贸易摩擦的持续影响,2019年第1季度产销量较上年同期大幅下降,2019年第2季度市场需求逐步恢复,公司处于去库存的过程中,产能未能完全利用,导致产品单位成本较上年同期上升。(2)为改进生产工艺和开发新产品,研发投入增加。(3)由于3225等型号产品市场竞争加剧,导致产品的平均单价较上年同期下降约10%。2、报告期内,非经常性损益对净利润的影响金额预计为278万元。","预减	","1037万	","2019-10-14	"
200009,神雾节能,820,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润亏损:71,517.98万元至75,017.98万元。	","-7.50亿～-7.15亿	","-27.7%	～-21.74%		","公司各板块的经营规模及相关业务的开展均受制于资金状况,导致公司整体营业收入低于上年同期,且由于公司逾期债务问题暂未能解决,按原合同计提相关罚息违约金数额较大,导致整体亏损比上年同期上升。","增亏	","-5.87亿	","2019-10-15	"
200010,镇海股份,603637,normal,企业,"预计2019年1-12月归属于上市公司股东的净利润与上年同期相比将发生较大增长。	","-	","-	","由于2018年12月31日公司并购泽宝技术完成交割,泽宝技术2019年损益数据并表到公司,因此2019年度公司累计净利润与上年同期相比将发生较大增长。","略增	","204万	","2019-10-29	"
200011,方正科技,600601,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润4,000万元-6,000万元	","4000万～6000万	","104.87%	～107.3%		","(一)非经营性损益的影响公司2018年度业绩预盈主要由于公司转让全资子公司方正科技集团苏州制造有限公司100%股权、出售公司持有的申万宏源和上海银行股票、政府补助以及诉讼计提等非经常性损益事项所致,上述事项合计增加公司本期利润约3.50亿元。(二)投资收益公司2018年收到参股公司北大方正集团财务有限公司现金分红款7,500万元。","扭亏	","-8.22亿	","2019-01-29	"
200012,赫美集团,2356,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润亏损:34,768万元至44,768万元。	","-4.48亿～-3.48亿	","-79.37%	～-39.3%		","报告期内,公司归属于上市公司股东的净利润预计较上年同期下降,主要原因系:2019年公司调整类金融板块小额贷款业务经营策略,停止放贷,全面转为催款,由于借款人恶意逾期越来越多,虽然公司已通过批量诉讼等催收手段加强催收力度,但贷款收回有限,不良贷款仍在持续大幅增加,本报告期计提了大额坏账准备,业绩比上年同期大幅度下降。","增亏	","-2.50亿	","2019-10-15	"
200013,中超控股,2471,normal,企业,"预计2019年1-12月归属于上市公司股东的净利润亏损:7,000万元至10,500万元。	","-1.05亿～-7000万	","-222.89%	～-181.93%		","一、年初至报告期末公司处置子公司锡洲电磁线全部股权产生投资损失较大;而上年同期处置子公司宜兴市中超利永紫砂陶有限公司全部股权及宜兴中超利永紫砂互联网科技小额贷款有限公司全部股权产生投资收益较多。二、公司部分子公司因流动资金影响,业绩较上年同期下降较大;三、公司预计可能形成的其他损失。","首亏	","8544万	","2019-10-31	"
200014,美联新材,300586,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:8,108.14万元至9,388.37万元,同比上年增长:90%至120%。	","8108万～9388万	","90%	～120%		","1、2019年前三季度业绩变动的主要原因:(1)报告期内,公司色母粒产品产销量同比上升,主营业务盈利持续增长;(2)公司在一季度末完成了对营创三征(营口)精细化工有限公司的控股、在二季度通过增资完成了对营口营新化工科技有限公司的控股,导致财务报表合并范围发生变化。2、预计非经常性损益对净利润的影响金额约为500万元。","预增	","4267万	","2019-10-15	"
200015,民生控股,416,normal,企业,"预计2019年1-12月归属于上市公司股东的净利润亏损:18,061.78万元31,608.12万元。	","-3.16亿～-1.81亿	","30%	～60%		","主要系中茂园林运营资金紧张、融资渠道不畅、部分银行抽贷、断贷;受国家地产调控,行业金融环境趋紧,部分工程项目业主方因资金压力导致工程进度款项回收大幅落后于工程进度;流动性的不足致使部分工程项目施工进度缓慢,从而导致收入确认同比大幅下降所致。","减亏	","-4.52亿	","2019-10-29	"
200016,大富科技,300134,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:约2,900万元,同比上年增长:约84.32%。	","2900万	","84.32%		","2019年1-9月,公司大力推进经营,稳健投资,使得公司报告期金融资产公允价值变动收益及子公司营业利润较去年同期均有增加。","预增	","1573万	","2019-10-15	"
200017,科华恒盛,2335,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:4,500万元至5,000万元。	","4500万～5000万	","164.67%	～171.85%		","报告期内,公司扭亏为盈的主要原因如下:1.公司积极开拓市场,推动主营业务稳步发展,2019年前三季度公司营业收入保持较大幅度增长,同比增长约38%。2.公司通过对部分暂时闲置募集资金进行现金管理,相应增加了公司收益。","扭亏	","-6959万	","2019-10-14	"
200018,天华超净,300390,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:4,490万元至5,239万元,同比上年增长:20%至40%。	","4490万～5239万	","20%	～40%		","1、报告期内,公司经营业绩较上年同期保持稳定增长,主要原因在于公司业务结构调整,加大市场开拓力度,在防静电超净技术产品和医疗器械产品方面,毛利率较高的产品销售比重增加,保障了公司业绩的稳定增长。2、报告期内,公司非经常性损益对净利润的影响金额约为350万元,主要来源于政府对企业科研项目方面的扶持资金,非经常性损益对公司业绩影响不大。","略增	","3742万	","2019-10-11	"
